Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
At3g08550,GO:0060560,GO:2001009,GO:0009663,GO:0009831,GO:0010215,GO:0010078,GO:0071482,GO:0009749,GO:0030244,GO:0009826,GO:0040008,GO:0007049,GO:0009416,GO:0030154,GO:0009738,GO:0051301,GO:0009737,,,,,,,,,,,,,,,,,,,,,
At2g37630,GO:0045088,GO:0010338,GO:0008356,GO:0009615,GO:0009944,GO:0009965,GO:0009739,GO:0045892,GO:0009908,GO:0009753,GO:0009751,GO:0042742,GO:0009733,GO:0046686,GO:0009651,GO:0050832,GO:0006351,,,,,,,,,,,,,,,,,,,,,
At5g39610,GO:0090400,GO:1904250,GO:0051091,GO:1902074,GO:1900057,GO:0043068,GO:0010029,GO:0048527,GO:0042542,GO:0010468,GO:0010150,GO:0009723,GO:0009733,GO:0006979,GO:0009737,GO:0009651,GO:0006351,,,,,,,,,,,,,,,,,,,,,
At5g62380,GO:0010981,GO:0090058,GO:0048759,GO:0045491,GO:0043068,GO:0010089,GO:0009741,GO:0009620,GO:0016311,GO:0009735,GO:0045893,GO:0009733,GO:0007275,GO:0071555,GO:0009737,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,
At3g16640,GO:0031117,GO:0040014,GO:0048768,GO:0090333,GO:0007346,GO:0001558,GO:0009819,GO:0009791,GO:0008283,GO:0010252,GO:0048527,GO:0009860,GO:0048364,GO:0009735,GO:0042742,GO:0009793,GO:0046686,,,,,,,,,,,,,,,,,,,,,
At1g71930,GO:0090059,GO:0048759,GO:0009741,GO:0071365,GO:0045491,GO:0010089,GO:0010628,GO:0009620,GO:0045893,GO:0009735,GO:0009733,GO:0007275,GO:0071555,GO:0009737,GO:0050832,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,
At1g73590,GO:0010338,GO:0010358,GO:0048826,GO:0048825,GO:0010315,GO:0010229,GO:0009640,GO:0010051,GO:0010252,GO:0009630,GO:0009926,GO:0048367,GO:0048364,GO:0009908,GO:0009734,GO:0009793,GO:0055085,,,,,,,,,,,,,,,,,,,,,
At5g58070,GO:0030644,GO:0006883,GO:1902884,GO:1901562,GO:1901002,GO:0050826,GO:0010431,GO:0010286,GO:0042538,GO:0009644,GO:0009416,GO:0009408,GO:0006629,GO:0009735,GO:0006810,GO:0009414,GO:0009409,,,,,,,,,,,,,,,,,,,,,
At3g09600,GO:0032922,GO:0043966,GO:0042753,GO:0042752,GO:0010628,GO:0048573,GO:0009739,GO:0009723,GO:0006366,GO:0009753,GO:0009751,GO:0045944,GO:0009733,GO:0046686,GO:0009737,GO:0009651,GO:0006355,,,,,,,,,,,,,,,,,,,,,
At3g01420,GO:0001561,GO:0034614,GO:1902609,GO:0071446,GO:0071732,GO:0008219,GO:0031408,GO:0009627,GO:0009626,GO:0006633,GO:0006629,GO:0009751,GO:0042742,GO:0098869,GO:0006979,GO:0009737,GO:0050832,,,,,,,,,,,,,,,,,,,,,
At3g30210,GO:0009769,GO:1903428,GO:0030104,GO:0090333,GO:0009645,GO:0009269,GO:0009768,GO:0071215,GO:0018298,GO:0009637,GO:0010218,GO:0010114,GO:0009644,GO:0009416,GO:0009409,GO:0009737,GO:0006355,,,,,,,,,,,,,,,,,,,,,
At1g04020,GO:0000724,GO:0042127,GO:0009934,GO:0010078,GO:0035066,GO:0035067,GO:0045717,GO:0080182,GO:0071158,GO:0065004,GO:0048366,GO:0010492,GO:0006281,GO:0045892,GO:0045944,GO:0016567,GO:0006351,,,,,,,,,,,,,,,,,,,,,
At5g67300,GO:2000031,GO:2000022,GO:0009739,GO:0009723,GO:0010200,GO:0009753,GO:0009751,GO:0009738,GO:0042742,GO:0009414,GO:0009733,GO:0046686,GO:0009737,GO:0009651,GO:0050832,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,
At1g43850,GO:0010272,GO:0071217,GO:0048467,GO:0046898,GO:0009624,GO:0006974,GO:0009909,GO:0001666,GO:0009620,GO:0048481,GO:0009617,GO:0030154,GO:0009733,GO:0009793,GO:0006979,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,
At4g01370,GO:0042539,GO:0009868,GO:0007112,GO:0006972,GO:0009861,GO:0009862,GO:0043622,GO:0000911,GO:0009620,GO:0000165,GO:0016310,GO:0009555,GO:0009409,GO:0009737,GO:0009651,GO:0006468,,,,,,,,,,,,,,,,,,,,,,
At5g13790,GO:0060862,GO:0060867,GO:0045487,GO:2000692,GO:0048577,GO:0010047,GO:0010262,GO:0071365,GO:0009910,GO:0010227,GO:0000165,GO:0045892,GO:0045944,GO:0045893,GO:0009793,GO:0006351,,,,,,,,,,,,,,,,,,,,,,
At1g32230,GO:0010102,GO:0006809,GO:0000303,GO:2000377,GO:0016032,GO:0009816,GO:0012501,GO:0009867,GO:0010193,GO:0006970,GO:0042542,GO:0009723,GO:0009873,GO:0009414,GO:0009793,GO:0009651,,,,,,,,,,,,,,,,,,,,,,
At2g26330,GO:0030155,GO:1905421,GO:0048281,GO:0001558,GO:0070370,GO:0010148,GO:0051302,GO:0010103,GO:0009944,GO:0001944,GO:0009965,GO:0009664,GO:0042742,GO:0007165,GO:0050832,GO:0006468,,,,,,,,,,,,,,,,,,,,,,
At1g08830,GO:0010193,GO:0010039,GO:0019430,GO:0071493,GO:0071329,GO:0035195,GO:0071457,GO:0071280,GO:0071472,GO:0071484,GO:0046688,GO:0034599,GO:0006979,GO:0042742,GO:0009651,GO:0055114,,,,,,,,,,,,,,,,,,,,,,
At1g70000,GO:0035066,GO:0031540,GO:0006338,GO:0016573,GO:0009739,GO:0009723,GO:0080167,GO:0006357,GO:0009751,GO:0009753,GO:0009733,GO:0046686,GO:0009737,GO:0009651,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,
At1g01060,GO:0009651,GO:0009737,GO:0046686,GO:0009409,GO:0009733,GO:0009751,GO:0009753,GO:0009723,GO:0009739,GO:0007623,GO:0042752,GO:0048574,GO:0043433,GO:0042754,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,
At1g64280,GO:0009682,GO:0009862,GO:0009625,GO:0031348,GO:2000022,GO:2000031,GO:0010112,GO:0001666,GO:0009627,GO:0009617,GO:0009626,GO:0009408,GO:0045893,GO:0009611,GO:0050832,GO:0016567,,,,,,,,,,,,,,,,,,,,,,
At3g30290,GO:2000692,GO:2001280,GO:1904095,GO:2000034,GO:0010439,GO:0055089,GO:0010262,GO:0045995,GO:2000014,GO:0010268,GO:0016125,GO:0016132,GO:0010228,GO:0045893,GO:0007275,GO:0055114,,,,,,,,,,,,,,,,,,,,,,
At2g39940,GO:0009861,GO:0009901,GO:0031348,GO:0009641,GO:0010118,GO:0009625,GO:0009867,GO:0010218,GO:0009909,GO:0031146,GO:0009753,GO:0009611,GO:0042742,GO:0050832,GO:0006952,GO:0016567,,,,,,,,,,,,,,,,,,,,,,
At4g15900,GO:0009755,GO:0009870,GO:0010204,GO:0010154,GO:0048825,GO:0009749,GO:0010182,GO:0045087,GO:0048366,GO:0045892,GO:0000398,GO:0048364,GO:0042742,GO:0006508,GO:0050832,GO:0016567,,,,,,,,,,,,,,,,,,,,,,
At2g25180,GO:0080036,GO:0031537,GO:0010380,GO:0080113,GO:0071368,GO:0010082,GO:0080022,GO:0000160,GO:0048367,GO:0009736,GO:0006511,GO:0048364,GO:0009735,GO:0009414,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,
At1g08720,GO:0002229,GO:0008219,GO:1900150,GO:0000186,GO:1900424,GO:0009617,GO:0009620,GO:0009788,GO:2000031,GO:0000165,GO:0009738,GO:0046777,GO:0009723,GO:0009873,GO:0009414,,,,,,,,,,,,,,,,,,,,,,,
At4g34460,GO:0009991,GO:1905392,GO:0072593,GO:2000280,GO:0010154,GO:0030968,GO:0009788,GO:0009867,GO:0009817,GO:0048527,GO:0009845,GO:0009723,GO:0048364,GO:0009738,GO:0050832,,,,,,,,,,,,,,,,,,,,,,,
